"Workout #";"Date";"Workout Name";"Duration (sec)";"Exercise Name";"Set Order";"Weight (kg)";"Reps";"RPE";"Distance (meters)";"Seconds";"Notes";"Workout Notes"
"5";"2025-01-03 10:56:38";"Oren's #1 - Full Body SS";"3643";"Triceps Pushdown (Cable - Straight Bar)";"1";"18.75";"12";"";"";"";"";""
"5";"2025-01-03 10:56:38";"Oren's #1 - Full Body SS";"3643";"Triceps Pushdown (Cable - Straight Bar)";"2";"18.75";"12";"";"";"";"";""
"5";"2025-01-03 10:56:38";"Oren's #1 - Full Body SS";"3643";"Triceps Pushdown (Cable - Straight Bar)";"3";"18.75";"12";"";"";"";"";""
"6";"2025-01-05 20:05:52";"Oren's #1 - Full Body";"3304";"Pull Up";"1";"0.0";"5";"";"";"";"";""
"6";"2025-01-05 20:05:52";"Oren's #1 - Full Body";"3304";"Pull Up";"2";"0.0";"5";"";"";"";"";""
"6";"2025-01-05 20:05:52";"Oren's #1 - Full Body";"3304";"Pull Up";"3";"0.0";"5";"";"";"";"";""
"6";"2025-01-05 20:05:52";"Oren's #1 - Full Body";"3304";"Bench Press (Dumbbell)";"1";"20.0";"10";"";"";"";"";""
"6";"2025-01-05 20:05:52";"Oren's #1 - Full Body";"3304";"Bench Press (Dumbbell)";"2";"20.0";"10";"";"";"";"";""
"6";"2025-01-05 20:05:52";"Oren's #1 - Full Body";"3304";"Bent Over One Arm Row (Dumbbell)";"1";"20.0";"10";"";"";"";"";""
"6";"2025-01-05 20:05:52";"Oren's #1 - Full Body";"3304";"Bent Over One Arm Row (Dumbbell)";"2";"20.0";"10";"";"";"";"";""
"6";"2025-01-05 20:05:52";"Oren's #1 - Full Body";"3304";"Bent Over One Arm Row (Dumbbell)";"3";"20.0";"10";"";"";"";"";""
"6";"2025-01-05 20:05:52";"Oren's #1 - Full Body";"3304";"Cable Crossover";"1";"11.25";"15";"";"";"";"";""
"6";"2025-01-05 20:05:52";"Oren's #1 - Full Body";"3304";"Cable Crossover";"2";"11.25";"15";"";"";"";"";""
"6";"2025-01-05 20:05:52";"Oren's #1 - Full Body";"3304";"Cable Crossover";"3";"11.25";"15";"";"";"";"";""
"6";"2025-01-05 20:05:52";"Oren's #1 - Full Body";"3304";"Goblet Squat (Kettlebell)";"1";"12.5";"10";"";"";"";"";""
"6";"2025-01-05 20:05:52";"Oren's #1 - Full Body";"3304";"Goblet Squat (Kettlebell)";"2";"12.5";"10";"";"";"";"";""
"6";"2025-01-05 20:05:52";"Oren's #1 - Full Body";"3304";"Goblet Squat (Kettlebell)";"3";"12.5";"10";"";"";"";"";""
"6";"2025-01-05 20:05:52";"Oren's #1 - Full Body";"3304";"Romanian Deadlift (Barbell)";"1";"25.0";"12";"";"";"";"";""
"6";"2025-01-05 20:05:52";"Oren's #1 - Full Body";"3304";"Romanian Deadlift (Barbell)";"2";"25.0";"12";"";"";"";"";""
"6";"2025-01-05 20:05:52";"Oren's #1 - Full Body";"3304";"Romanian Deadlift (Barbell)";"3";"25.0";"12";"";"";"";"";""
"6";"2025-01-05 20:05:52";"Oren's #1 - Full Body";"3304";"Sit Up";"1";"10.0";"12";"";"";"";"";""
"6";"2025-01-05 20:05:52";"Oren's #1 - Full Body";"3304";"Sit Up";"2";"10.0";"12";"";"";"";"";""
"6";"2025-01-05 20:05:52";"Oren's #1 - Full Body";"3304";"Sit Up";"3";"10.0";"12";"";"";"";"";""
"6";"2025-01-05 20:05:52";"Oren's #1 - Full Body";"3304";"Russian Twist";"1";"";"12";"";"";"";"";""
"6";"2025-01-05 20:05:52";"Oren's #1 - Full Body";"3304";"Russian Twist";"2";"";"12";"";"";"";"";""
"6";"2025-01-05 20:05:52";"Oren's #1 - Full Body";"3304";"Russian Twist";"3";"";"12";"";"";"";"";""
"6";"2025-01-05 20:05:52";"Oren's #1 - Full Body";"3304";"Lateral Raise (Dumbbell)";"1";"4.0";"15";"";"";"";"";""
"6";"2025-01-05 20:05:52";"Oren's #1 - Full Body";"3304";"Lateral Raise (Dumbbell)";"2";"4.0";"15";"";"";"";"";""
